"report_date","report_source","report_period","massacres_cum","ext_massacres_cum","killed","killed_cum","killed_children_cum","killed_women_cum","ext_killed","ext_killed_cum","ext_killed_children_cum","ext_killed_women_cum","injured","injured_cum","ext_injured","ext_injured_cum","civdef_killed_cum","ext_civdef_killed_cum","med_killed_cum","ext_med_killed_cum","press_killed_cum","ext_press_killed_cum"
"2023-10-30","gmotel","24","908","908","304","8309","3457","2136","304","8309","3457","2136","","21048","806","21048","18","18","124","124","35","35"
"2023-10-31","mohtel","24","926","926","216","8525","3542","2187","216","8525","3542","2187","","21543","495","21543","","18","130","130","","35"
"2023-11-01","mohtel","24","950","950","280","8805","3650","2252","280","8805","3650","2252","","22240","697","22240","","18","132","132","","35"
"2023-11-02","mohtel","24","965","965","256","9061","3760","2326","256","9061","3760","2326","","22911","671","22911","","18","134","134","","35"
"2023-11-03","mohtel","24","997","997","196","9257","3826","2405","196","9257","3826","2405","","23516","605","23516","","18","136","136","","35"
"2023-11-04","mohtel","24","1006","1006","228","9485","3900","2509","228","9485","3900","2509","","24158","642","24158","","18","150","150","","35"
"2023-11-05","mohtel","24","1031","1031","285","9770","4008","2550","285","9770","4008","2550","","24808","650","24808","","18","175","175","","35"
"2023-11-06","gmotel","24","","1031","252","10022","","","252","10022","4108","2610","","25000","192","25000","","18","192","192","","35"
"2023-11-07","mohtel","24","1071","1071","306","10328","4237","2719","306","10328","4237","2719","","25956","956","25956","","18","192","192","","35"
"2023-11-08","mohtel","24","1098","1098","241","10569","4324","2823","241","10569","4324","2823","","26475","519","26475","","18","193","193","","35"
"2023-11-09","mohtel","24","1118","1118","249","10818","4412","2918","249","10818","4412","2918","","26905","430","26905","","18","195","195","","35"
"2023-11-10","mohtel","24","1130","1130","260","11078","4506","3027","260","11078","4506","3027","","27490","585","27490","20","20","198","198","49","49"
"2023-11-11","missing","24","","1130","","","","","51","11129","4540","3044","","","355","27845","20","20","","198","49","49"
"2023-11-12","gmotel","24","1142","1142","","11180","4609","3100","51","11180","4609","3100","","28200","355","28200","20","20","198","198","49","49"
"2023-11-13","gmotel","24","1153","1153","","11240","4630","3130","60","11240","4630","3130","","29000","800","29000","21","21","198","198","51","51"
"2023-11-14","gmotel","24","1165","1165","","11320","4650","3145","80","11320","4650","3145","","29200","200","29200","22","22","198","198","51","51"
"2023-11-15","gmotel","24","1200","1200","","11500","4710","3160","180","11500","4710","3160","","29800","600","29800","22","22","200","200","51","51"
"2023-11-16","missing","24","","1200","","","","","500","12000","5000","3300","","","100","29900","","22","","200","51","51"
"2023-11-17","gmotel","24","1270","1270","","12000","5000","3300","0","12000","5000","3300","","30000","100","30000","22","22","200","200","51","51"
"2023-11-18","gmotel","24","1300","1300","","12300","5000","3300","300","12300","5000","3300","","30000","0","30000","22","22","200","200","56","56"
"2023-11-19","gmotel","24","1330","1330","","13000","5500","3500","700","13000","5500","3500","","30000","0","30000","22","22","201","201","60","60"
"2023-11-20","gmotel","24","1340","1340","","13300","5600","3550","300","13300","5600","3550","","31000","1000","31000","22","22","201","201","60","60"
"2023-11-21","gmotel","24","1354","1354","","14128","5840","3920","828","14128","5840","3920","","33000","2000","33000","","22","205","205","","60"
"2023-11-22","gmotel","24","1384","1384","","14532","6000","4000","404","14532","6000","4000","","35000","2000","35000","25","25","205","205","64","64"
"2023-11-23","gmotel","24","1400","1400","","14800","6150","4000","268","14800","6150","4000","","36000","1000","36000","26","26","207","207","65","65"
"2023-11-24","missing","24","","1400","","14800","","","0","14800","6150","4000","","","0","36000","","26","","207","","65"
"2023-11-25","missing","24","","1400","","14800","","","0","14800","6150","4000","","","0","36000","","26","","207","67","67"
"2023-11-26","missing","24","","1400","","14800","","","0","14800","6150","4000","","","0","36000","","26","","207","","67"
"2023-11-27","gmotel","24","1400","1400","","14800","6150","4000","0","14800","6150","4000","","36000","0","36000","26","26","207","207","70","70"
"2023-11-28","gmotel","24","1400","1400","","14800","6150","4000","0","14800","6150","4000","","36000","0","36000","26","26","207","207","70","70"
"2023-11-29","missing","24","","1400","","14800","6150","4000","0","14800","6150","4000","","","0","36000","","26","","207","70","70"
"2023-11-30","missing","24","","1400","","14800","6150","4000","0","14800","6150","4000","","","0","36000","","26","","207","70","70"
"2023-12-01","mohtel","24","","1400","","14800","6150","4000","0","14800","6150","4000","","37000","1000","37000","","26","280","280","73","73"
"2023-12-02","mohtel","24","1450","1450","407","15207","6387","4257","407","15207","6387","4257","652","40652","3652","40652","26","26","280","280","76","76"
"2023-12-03","mohtel","24","1473","1473","316","15523","6600","4300","316","15523","6600","4300","664","41316","664","41316","26","26","281","281","77","77"
"2023-12-04","mohtel","24","","1473","376","15899","","","376","15899","6800","4500","750","42000","684","42000","","26","283","283","","77"
"2023-12-05","gmotel","24","1550","1550","725","16248","7112","4885","349","16248","7112","4885","","43616","1616","43616","32","32","286","286","81","81"
"2023-12-06","missing","24","","1550","","","","","579","16827","7550","5000","","","1192","44808","","32","","286","","81"
"2023-12-07","mohtel","24","1576","1576","350","17177","7729","5153","350","17177","7729","5153","1900","46000","1192","46000","32","32","290","290","81","81"
"2023-12-08","mohtel","24","","1576","313","17487","","","310","17487","7729","5246","558","46480","480","46480","","32","","295","","81"
"2023-12-09","mohtel","24","","1596","210","17700","7870","6121","213","17700","7870","6121","2300","48780","2300","48780","","32","295","295","","81"
"2023-12-10","mohtel","24","","1617","297","17997","7875","6130","297","17997","7875","6130","449","49229","449","49229","","32","296","296","","81"
"2023-12-11","mohtel","24","","1636","208","18205","","","208","18205","7900","6150","416","49645","416","49645","","32","","296","","81"
"2023-12-12","mohtel","24","1644","1644","207","18412","8000","6200","207","18412","8000","6200","450","50100","455","50100","32","32","300","300","86","86"
"2023-12-13","mohtel","24","","1660","196","18608","","","196","18608","8000","6200","499","50594","494","50594","","32","300","300","","86"
"2023-12-14","mohtel","24","","1678","179","18787","","","179","18787","8000","6200","303","50897","303","50897","","32","300","300","","86"
"2023-12-15","gmotel","24","1680","1680","","18800","8000","6200","13","18800","8000","6200","","51000","103","51000","32","32","300","300","89","89"
"2023-12-16","missing","24","","1680","","","","","217","19017","8000","6200","","","200","51200","","32","","300","","89"
"2023-12-17","missing","24","","1680","","","","","218","19235","8000","6200","","","543","51743","","32","","300","","89"
"2023-12-18","mohtel","24","","1696","151","19453","8000","6200","218","19453","8000","6200","313","52286","543","52286","32","32","300","300","96","96"
"2023-12-19","mohtel","24","1697","1697","214","19667","8000","6200","214","19667","8000","6200","300","52586","300","52586","35","35","310","310","97","97"
"2023-12-20","mohtel","24","","1697","","","8000","6200","130","19797","8000","6200","","","245","52831","35","35","310","310","97","97"
"2023-12-21","mohtel","24","","1697","","","","","130","19927","8000","6200","","","244","53075","","35","","310","","97"
"2023-12-22","mohtel","24","","1697","390","20057","","","130","20057","8000","6200","734","53320","245","53320","","35","","310","","97"
"2023-12-23","mohtel","24","","1697","201","20258","8200","","201","20258","8200","6200","368","53688","368","53688","35","35","310","310","100","100"
"2023-12-24","mohtel","24","","1697","166","20424","","","166","20424","8200","6200","384","54036","348","54036","","35","","310","","97"
"2023-12-25","mohtel","24","1745","1745","250","20674","8500","6300","250","20674","8500","6300","500","54536","500","54536","40","40","311","311","103","103"
"2023-12-26","mohtel","24","","1763","241","20915","","","241","20915","8500","6300","382","54918","382","54918","","40","","311","","103"
"2023-12-27","mohtel","24","1779","1779","195","21110","8800","6300","195","21110","8800","6300","325","55243","325","55243","40","40","311","311","103","103"
"2023-12-28","mohtel","24","","1799","210","21320","","","210","21320","8800","6300","360","55603","360","55603","","40","","311","","103"
"2023-12-29","mohtel","24","","1799","187","21507","","","187","21507","8800","6300","312","55915","312","55915","","40","","311","","103"
"2023-12-30","mohtel","24","1813","1813","165","21672","9000","6450","165","21672","9000","6450","250","56165","250","56165","40","40","312","312","106","106"
"2023-12-31","mohtel","24","1825","1825","150","21822","9100","6500","150","21822","9100","6500","286","56451","286","56451","40","40","312","312","106","106"
"2024-01-01","mohtel","24","1838","1838","156","21978","9280","6600","156","21978","9280","6600","246","56697","246","56697","40","40","326","326","106","106"
"2024-01-02","mohtel","24","","1853","207","22185","","","207","22185","9280","6600","338","57035","338","57035","","40","","326","","106"
"2024-01-03","mohtel","24","","1863","128","22313","","","128","22313","9400","6700","261","57296","261","57296","","40","","326","","106"
"2024-01-04","mohtel","24","","1876","125","22438","9730","6830","125","22438","9730","6830","318","57614","318","57614","","40","326","326","","106"
"2024-01-05","mohtel","24","","1891","162","22600","","","162","22600","9730","6830","296","57910","296","57910","","40","","326","","106"
"2024-01-06","mohtel","24","","1903","122","22722","10000","7000","122","22722","10000","7000","256","58166","256","58166","","40","","326","","106"
"2024-01-07","mohtel","24","","1915","113","22835","10000","7000","113","22835","10000","7000","250","58416","250","58416","","40","","326","","106"
"2024-01-08","mohtel","24","","1932","249","23084","","","249","23084","10000","7000","510","58926","510","58926","","40","","326","","106"
"2024-01-09","mohtel","24","","1944","126","23210","10000","7000","126","23210","10000","7000","241","59167","241","59167","","40","","326","","106"
"2024-01-10","mohtel","24","","1958","147","23357","","","147","23357","10000","7000","243","59410","243","59410","","40","","326","","106"
"2024-01-11","mohtel","24","1968","1968","112","23469","10300","7100","112","23469","10300","7100","194","59604","194","59604","","40","337","337","","106"
"2024-01-12","mohtel","24","","1981","151","23708","","","239","23708","10300","7100","248","60005","401","60005","","40","","337","","106"
"2024-01-13","mohtel","24","1993","1993","135","23843","10400","7100","135","23843","10400","7100","312","60317","312","60317","45","45","337","337","117","117"
"2024-01-14","mohtel","24","2000","2004","125","23968","10600","7200","125","23968","10600","7200","265","60582","265","60582","45","45","337","337","","117"
"2024-01-15","mohtel","24","","2016","132","24100","","","132","24100","10600","7200","252","60834","252","60834","","45","","337","118","118"
"2024-01-16","mohtel","24","","2031","158","24285","","","185","24285","10600","7200","320","61154","320","61154","","45","","337","","118"
"2024-01-17","mohtel","24","","2031","163","24448","","","163","24448","10600","7200","350","61504","350","61504","","45","","337","","118"
"2024-01-18","mohtel","24","","2046","172","24620","10800","7250","172","24620","10800","7250","326","61830","326","61830","45","45","337","337","119","119"
"2024-01-19","mohtel","24","","2058","142","24762","","","142","24762","10800","7250","278","62108","278","62108","","45","","337","119","119"
"2024-01-20","mohtel","24","","2072","165","24927","","","165","24927","10800","7250","280","62388","280","62388","","45","","337","","119"
"2024-01-21","mohtel","24","","2087","178","25105","","","178","25105","10800","7250","293","62681","293","62681","","45","","337","","119"
"2024-01-22","mohtel","24","2119","2119","190","25295","11000","7500","190","25295","11000","7500","340","63000","319","63000","45","45","337","337","119","119"
"2024-01-23","mohtel","24","","2141","195","25490","","","195","25490","11000","7500","354","63354","354","63354","","45","","337","","119"
"2024-01-24","mohtel","24","","2165","210","25700","","","210","25700","11000","7500","386","63740","386","63740","","45","","337","","119"
"2024-01-25","mohtel","24","","2186","200","25900","","","200","25900","11000","7500","370","64110","370","64110","","45","","337","","119"
"2024-01-26","mohtel","24","","2205","183","26083","","","183","26083","11000","7500","377","64487","377","64487","","45","","337","","119"
"2024-01-27","mohtel","24","","2223","174","26257","","","174","26257","11000","7500","310","64797","310","64797","","45","","337","120","120"
"2024-01-28","mohtel","24","","2242","165","26422","","","165","26422","11000","7500","290","65087","290","65087","","45","","337","","120"
"2024-01-29","mohtel","24","","2256","215","26637","","","215","26637","11000","7500","300","65387","300","65387","","45","","337","122","122"
"2024-01-30","mohtel","24","2269","2269","114","26751","11500","8000","114","26751","11500","8000","249","65636","249","65636","46","46","339","339","122","122"
"2024-01-31","mohtel","24","","2285","149","26900","","","149","26900","11500","8000","313","65949","313","65949","","46","","339","","122"
"2024-02-01","mohtel","24","","2300","119","27019","","","119","27019","11500","8000","190","66139","190","66139","","46","","339","","122"
"2024-02-02","mohtel","24","","2313","112","27131","","","112","27131","11500","8000","148","66287","148","66287","","46","","339","","122"
"2024-02-03","mohtel","24","2325","2325","107","27238","12000","8190","107","27238","12000","8190","165","66452","165","66452","46","46","339","339","122","122"
"2024-02-04","mohtel","24","","2339","127","27365","","","127","27365","12000","8190","178","66630","178","66630","","46","","339","","122"
"2024-02-05","mohtel","24","","2352","113","27478","","","113","27478","12000","8190","205","66835","205","66835","","46","","339","","122"
"2024-02-06","mohtel","24","","2364","107","27585","","","107","27585","12000","8190","143","66978","143","66978","","46","","339","","122"
"2024-02-07","mohtel","24","","2380","123","27708","","","123","27708","12000","8190","169","67147","169","67147","","46","","339","123","123"
"2024-02-08","mohtel","24","2395","2395","132","27840","12150","8300","132","27840","12150","8300","170","67317","170","67317","","46","340","340","124","124"
"2024-02-09","mohtel","24","","2408","107","27947","","","107","27947","12150","8300","142","67459","142","67459","","46","","340","","124"
"2024-02-10","mohtel","24","","2424","117","28064","","","117","28064","12150","8300","152","67611","152","67611","","46","","340","","124"
"2024-02-11","mohtel","24","2438","2438","112","28176","12300","8400","112","28176","12300","8400","173","67784","173","67784","46","46","340","340","124","124"
"2024-02-12","mohtel","24","","2457","164","28340","","","164","28340","12300","8400","200","67984","200","67984","","46","","340","126","126"
"2024-02-13","mohtel","24","","2473","133","28473","","","133","28473","12300","8400","162","68146","162","68146","","46","","340","","126"
"2024-02-14","mohtel","24","","2484","103","28576","","","103","28576","12300","8400","145","68291","145","68291","","46","","340","","126"
"2024-02-15","mohtel","24","","2493","87","28663","","","87","28663","12300","8400","104","68395","104","68395","","46","","340","","126"
"2024-02-16","mohtel","24","2503","2503","112","28775","12660","8570","112","28775","12660","8570","157","68552","157","68552","46","46","340","340","130","130"
"2024-02-17","mohtel","24","2512","2512","83","28858","12660","8570","83","28858","12660","8570","125","68677","125","68677","46","46","340","340","130","130"
"2024-02-18","mohtel","24","","2525","127","28985","","","127","28985","12660","8570","206","68883","206","68883","","46","","340","","130"
"2024-02-19","mohtel","24","","2534","107","29092","","","107","29092","12660","8570","145","69028","145","69028","","46","","340","","130"
"2024-02-20","mohtel","24","","2543","103","29195","","","103","29195","12660","8570","142","69170","142","69170","","46","","340","","130"
"2024-02-21","mohtel","24","","2554","118","29313","","","118","29313","12660","8570","163","69333","163","69333","","46","","340","","130"
"2024-02-22","mohtel","24","","2563","97","29410","","","97","29410","12660","8570","132","69465","132","69465","","46","","340","","130"
"2024-02-23","mohtel","24","2573","2573","104","29514","13000","8800","104","29514","13000","8800","151","69616","151","69616","47","47","340","340","132","132"
"2024-02-24","mohtel","24","","2581","92","29606","","","92","29606","13000","8800","121","69737","121","69737","","47","","340","","132"
"2024-02-25","mohtel","24","","2589","86","29692","","","86","29692","13000","8800","142","69879","142","69879","","47","","340","","132"
"2024-02-26","mohtel","24","","2599","90","29782","","","90","29782","13000","8800","164","70043","164","70043","","47","","340","","132"
"2024-02-27","mohtel","24","","2610","96","29878","","","96","29878","13000","8800","172","70215","172","70215","","47","","340","","132"
"2024-02-28","mohtel","24","","2618","76","29954","","","76","29954","13000","8800","110","70325","110","70325","","47","","340","","132"
"2024-02-29","mohtel","24","2627","2627","81","30035","13230","8860","81","30035","13230","8860","132","70457","132","70457","47","47","340","340","132","132"
"2024-03-01","mohtel","24","","2643","193","30228","","","193","30228","13230","8860","920","71377","920","71377","","47","","340","","132"
"2024-03-02","mohtel","24","","2653","92","30320","","","92","30320","13230","8860","156","71533","156","71533","","47","","340","","132"
"2024-03-03","mohtel","24","","2662","90","30410","","","90","30410","13230","8860","177","71710","177","71710","","47","342","342","","132"
"2024-03-04","mohtel","24","","2675","124","30534","13430","8900","124","30534","13430","8900","210","71920","210","71920","48","48","364","364","132","132"
"2024-03-05","mohtel","24","","2685","97","30631","","","97","30631","13430","8900","123","72043","123","72043","","48","","364","","132"
"2024-03-06","mohtel","24","","2694","86","30717","","","86","30717","13430","8900","113","72156","113","72156","","48","","364","133","133"
"2024-03-07","mohtel","24","","2703","83","30800","","","83","30800","13430","8900","142","72298","142","72298","","48","","364","","133"
"2024-03-08","mohtel","24","","2711","78","30878","","","78","30878","13430","8900","104","72402","104","72402","","48","","364","","133"
"2024-03-09","mohtel","24","","2713","82","30960","13500","9000","82","30960","13500","9000","122","72524","122","72524","48","48","364","364","133","133"
"2024-03-10","mohtel","24","2721","2721","85","31045","","","85","31045","13500","9000","130","72654","130","72654","","48","","364","","133"
"2024-03-11","mohtel","24","","2728","67","31112","","","67","31112","13500","9000","106","72760","106","72760","","48","","364","","133"
"2024-03-12","mohtel","24","","2736","72","31184","","","72","31184","13500","9000","129","72889","129","72889","","48","","364","","133"
"2024-03-13","mohtel","24","","2746","88","31272","","","88","31272","13500","9000","135","73024","135","73024","","48","","364","","133"
"2024-03-14","mohtel","24","2761","2761","69","31341","13790","9100","69","31341","13790","9100","110","73134","110","73134","48","48","364","364","133","133"
"2024-03-15","mohtel","24","","2774","149","31490","","","149","31490","13790","9100","300","73434","300","73434","","48","","364","","133"
"2024-03-16","mohtel","24","","2781","63","31553","","","63","31553","13790","9100","112","73546","112","73546","","48","","364","","133"
"2024-03-17","mohtel","24","","2790","92","31645","","","92","31645","13790","9100","130","73676","130","73676","","48","","364","","133"
"2024-03-18","mohtel","24","","2798","81","31726","","","81","31726","13790","9100","116","73792","116","73792","","48","","364","","133"
"2024-03-19","mohtel","24","2807","2807","93","31819","14000","9220","93","31819","14000","9220","142","73934","142","73934","48","48","364","364","135","135"
"2024-03-20","mohtel","24","","2817","104","31923","","","104","31923","14000","9220","162","74096","162","74096","","48","","364","","135"
"2024-03-21","mohtel","24","","2824","65","31988","","","65","31988","14000","9220","92","74188","92","74188","","48","","364","","135"
"2024-03-22","mohtel","24","","2833","82","32070","","","82","32070","14000","9220","110","74298","110","74298","","48","","364","","135"
"2024-03-23","mohtel","24","","2840","72","32142","","","72","32142","14000","9220","114","74412","114","74412","","48","","364","","135"
"2024-03-24","mohtel","24","2848","2848","84","32226","14280","9340","84","32226","14280","9340","106","74518","106","74518","48","48","364","364","136","136"
"2024-03-25","mohtel","24","","2859","107","32333","","","107","32333","14280","9340","176","74694","176","74694","","48","","364","","136"
"2024-03-26","mohtel","24","","2867","81","32414","","","81","32414","14280","9340","93","74787","93","74787","","48","","364","","136"
"2024-03-27","mohtel","24","","2875","76","32490","","","76","32490","14280","9340","102","74889","102","74889","","48","","364","","136"
"2024-03-28","mohtel","24","","2881","62","32552","","","62","32552","14280","9340","91","74980","91","74980","","48","","364","","136"
"2024-03-29","mohtel","24","2888","2888","71","32623","14350","9460","71","32623","14350","9460","112","75092","112","75092","48","48","364","364","136","136"
"2024-03-30","mohtel","24","","2896","82","32705","","","82","32705","14350","9460","98","75190","98","75190","","48","","364","","136"
"2024-03-31","mohtel","24","","2904","77","32782","","","77","32782","14350","9460","108","75298","108","75298","","48","","364","137","137"
"2024-04-01","mohtel","24","","2910","63","32845","","","63","32845","14350","9460","94","75392","94","75392","","48","","364","138","138"
"2024-04-02","mohtel","24","","2917","71","32916","","","71","32916","14350","9460","102","75494","102","75494","","48","","364","","138"
"2024-04-03","mohtel","24","2922","2922","59","32975","14500","9560","59","32975","14500","9560","83","75577","83","75577","65","65","484","484","140","140"
"2024-04-04","mohtel","24","","2928","62","33037","","","62","33037","14500","9560","91","75668","91","75668","","65","","484","","140"
"2024-04-05","mohtel","24","","2933","54","33091","","","54","33091","14500","9560","82","75750","82","75750","","65","","484","","140"
"2024-04-06","mohtel","24","","2937","46","33137","","","46","33137","14500","9560","65","75815","65","75815","","65","","484","","140"
"2024-04-07","mohtel","24","","2941","38","33175","","","38","33175","14500","9560","71","75886","71","75886","","65","","484","","140"
"2024-04-08","mohtel","24","2941","2941","32","33207","14520","9568","32","33207","14520","9568","47","75933","47","75933","65","65","485","485","140","140"
"2024-04-09","mohtel","24","","2948","153","33360","","","153","33360","14520","9568","60","75993","60","75993","","65","","485","","140"
"2024-04-10","mohtel","24","","2954","122","33482","","","122","33482","14520","9568","56","76049","56","76049","","65","","485","","140"
"2024-04-11","mohtel","24","","2960","63","33545","","","63","33545","14520","9568","45","76094","45","76094","","65","","485","","140"
"2024-04-12","mohtel","24","","2968","89","33634","","","89","33634","14520","9568","120","76214","120","76214","","65","","485","","140"
"2024-04-13","mohtel","24","2973","2973","52","33686","14560","9582","52","33686","14560","9582","95","76309","95","76309","66","66","485","485","140","140"
"2024-04-14","mohtel","24","","2977","43","33729","","","43","33729","14560","9582","62","76371","62","76371","","66","","485","","140"
"2024-04-15","mohtel","24","","2984","68","33797","","","68","33797","14560","9582","94","76465","94","76465","","66","","485","","140"
"2024-04-16","mohtel","24","","2989","46","33843","","","46","33843","14560","9582","110","76575","110","76575","","66","","485","","140"
"2024-04-17","mohtel","24","","2995","56","33899","","","56","33899","14560","9582","89","76664","89","76664","","66","","485","","140"
"2024-04-18","mohtel","24","3002","3002","71","33970","14685","9670","71","33970","14685","9670","106","76770","106","76770","66","66","485","485","140","140"
"2024-04-19","mohtel","24","","3006","42","34012","","","42","34012","14685","9670","63","76833","63","76833","","66","","485","","140"
"2024-04-20","mohtel","24","","3010","37","34049","","","37","34049","14685","9670","68","76901","68","76901","","66","","485","","140"
"2024-04-21","mohtel","24","","3015","48","34097","","","48","34097","14685","9670","79","76980","79","76980","","66","","485","","140"
"2024-04-22","mohtel","24","","3021","54","34151","","","54","34151","14685","9670","104","77084","104","77084","","66","","485","","140"
"2024-04-23","mohtel","24","3025","3025","32","34183","14778","9752","32","34183","14778","9752","59","77143","59","77143","67","67","485","485","140","140"
"2024-04-24","mohtel","24","","3031","79","34262","","","79","34262","14778","9752","86","77229","86","77229","","67","","485","","140"
"2024-04-25","mohtel","24","","3036","43","34305","","","43","34305","14778","9752","64","77293","64","77293","","67","","485","141","141"
"2024-04-26","mohtel","24","","3041","51","34356","","","51","34356","14778","9752","75","77368","75","77368","","67","","485","","141"
"2024-04-27","mohtel","24","","3045","32","34388","","","32","34388","14778","9752","69","77437","69","77437","","67","","485","","141"
"2024-04-28","mohtel","24","3052","3052","66","34454","14873","9801","66","34454","14873","9801","138","77575","138","77575","67","67","491","491","141","141"
"2024-04-29","mohtel","24","","3055","34","34488","","","34","34488","14873","9801","68","77643","68","77643","","67","","491","","141"
"2024-04-30","mohtel","24","","3060","47","34535","","","47","34535","14873","9801","61","77704","61","77704","","67","","491","","141"
"2024-05-01","mohtel","24","","3064","33","34568","","","33","34568","14873","9801","61","77765","61","77765","","67","","491","","141"
"2024-05-02","mohtel","24","","3067","28","34596","","","28","34596","14873","9801","51","77816","51","77816","","67","","491","","141"
"2024-05-03","mohtel","24","3070","3070","26","34622","14944","9849","26","34622","14944","9849","51","77867","51","77867","68","68","492","492","141","141"
"2024-05-04","mohtel","24","","3073","32","34654","","","32","34654","14944","9849","41","77908","41","77908","","68","","492","","141"
"2024-05-05","mohtel","24","","3076","29","34683","","","29","34683","14944","9849","110","78018","110","78018","","68","","492","","141"
"2024-05-06","mohtel","24","","3081","52","34735","","","52","34735","14944","9849","90","78108","90","78108","","68","","492","142","142"
"2024-05-07","mohtel","24","","3087","54","34789","","","54","34789","14944","9849","96","78204","96","78204","","68","","492","","142"
"2024-05-08","mohtel","24","3094","3094","55","34844","15002","9893","55","34844","15002","9893","200","78404","200","78404","68","68","492","492","142","142"
"2024-05-09","mohtel","24","","3098","60","34904","","","60","34904","15002","9893","110","78514","110","78514","","68","","492","","142"
"2024-05-10","mohtel","24","","3104","39","34943","","","39","34943","15002","9893","58","78572","58","78572","","68","","492","","142"
"2024-05-11","mohtel","24","","3108","28","34971","","","28","34971","15002","9893","69","78641","69","78641","","68","","492","143","143"
"2024-05-12","mohtel","24","","3116","63","35034","","","63","35034","15002","9893","114","78755","114","78755","","68","","492","","143"
"2024-05-13","mohtel","24","3123","3123","57","35091","15103","9961","57","35091","15103","9961","72","78827","72","78827","69","69","492","492","143","143"
"2024-05-14","mohtel","24","","3131","82","35173","","","82","35173","15103","9961","234","79061","234","79061","","69","","492","","143"
"2024-05-15","mohtel","24","","3136","60","35233","","","60","35233","15103","9961","80","79141","80","79141","","69","","492","","143"
"2024-05-16","mohtel","24","","3140","39","35272","","","39","35272","15103","9961","64","79205","64","79205","","69","","492","147","147"
"2024-05-17","mohtel","24","","3144","31","35303","","","31","35303","15103","9961","56","79261","56","79261","","69","","492","","147"
"2024-05-18","mohtel","24","3153","3153","83","35386","15162","10018","83","35386","15162","10018","105","79366","105","79366","69","69","492","492","147","147"
"2024-05-19","mohtel","24","","3161","70","35456","","","70","35456","15162","10018","110","79476","110","79476","","69","","492","","147"
"2024-05-20","mohtel","24","","3171","106","35562","","","106","35562","15162","10018","176","79652","176","79652","","69","","492","","147"
"2024-05-21","mohtel","24","","3176","85","35647","","","85","35647","15162","10018","200","79852","200","79852","","69","","492","","147"
"2024-05-22","mohtel","24","","3182","62","35709","","","62","35709","15162","10018","138","79990","138","79990","","69","","492","","147"
"2024-05-23","mohtel","24","3191","3191","91","35800","15239","10093","91","35800","15239","10093","210","80200","210","80200","69","69","493","493","147","147"
